,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
31377,457,2019-02-24 16:56:39.622,2019-02-24 17:04:17.081,246.0,Berkeley Civic Center,37.8690599,-122.270556,268.0,Ellsworth St at Russell St,37.85749021457153,-122.26157784461977,5787,Subscriber,1958,Male,No,2019,2,24,16,afternoon,Saturday,61,7,0
31394,495,2019-02-24 16:53:34.367,2019-02-24 17:01:49.487,160.0,West Oakland BART Station,37.8053183,-122.2948365,160.0,West Oakland BART Station,37.8053183,-122.2948365,6441,Subscriber,1959,Male,Yes,2019,2,24,16,afternoon,Saturday,60,8,0
31409,849,2019-02-24 16:45:49.588,2019-02-24 16:59:58.785,310.0,San Fernando St at 4th St,37.335885,-121.88566,289.0,5th St at Taylor St,37.3510173,-121.8959209,4026,Subscriber,1957,Male,Yes,2019,2,24,16,afternoon,Saturday,62,14,0
31422,401,2019-02-24 16:52:00.055,2019-02-24 16:58:41.913,274.0,Oregon St at Adeline St,37.8575672,-122.2675583,248.0,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949,4627,Subscriber,1950,Male,No,2019,2,24,16,afternoon,Saturday,69,6,0
31424,362,2019-02-24 16:51:57.486,2019-02-24 16:58:00.350,196.0,Grand Ave at Perkins St,37.80889393398715,-122.25646018981932,182.0,19th Street BART Station,37.8090126,-122.2682473,3599,Subscriber,1954,Male,No,2019,2,24,16,afternoon,Saturday,65,6,0
31522,1877,2019-02-24 16:12:13.047,2019-02-24 16:43:30.052,152.0,47th St at San Pablo Ave,37.83563220458518,-122.28105068206789,18.0,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596,5089,Subscriber,1957,Male,Yes,2019,2,24,16,afternoon,Saturday,62,31,0
31547,490,2019-02-24 16:31:24.138,2019-02-24 16:39:34.544,42.0,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823,350.0,8th St at Brannan St,37.771431362921085,-122.40578681230544,5427,Subscriber,1950,Male,No,2019,2,24,16,afternoon,Saturday,69,8,0
31553,255,2019-02-24 16:34:14.207,2019-02-24 16:38:29.617,176.0,MacArthur BART Station,37.82840997305853,-122.26631462574004,150.0,Adeline St at 40th St,37.8312769,-122.2782669,408,Subscriber,1943,Male,No,2019,2,24,16,afternoon,Saturday,76,4,0
31620,308,2019-02-24 16:21:52.655,2019-02-24 16:27:01.441,24.0,Spear St at Folsom St,37.7896767,-122.3904285,343.0,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,6434,Subscriber,1953,Male,No,2019,2,24,16,afternoon,Saturday,66,5,0
31629,1276,2019-02-24 16:04:32.747,2019-02-24 16:25:49.317,249.0,Russell St at College Ave,37.8584732,-122.2532529,242.0,Milvia St at Derby St,37.86012459911685,-122.2693844139576,4904,Subscriber,1950,Male,No,2019,2,24,16,afternoon,Saturday,69,21,0
31652,493,2019-02-24 16:14:37.182,2019-02-24 16:22:50.235,286.0,San Carlos St at 11th St,37.3364659,-121.8766132,311.0,Paseo De San Antonio at 2nd St,37.333798,-121.886943,6374,Subscriber,1947,Female,No,2019,2,24,16,afternoon,Saturday,72,8,0
31739,2983,2019-02-24 15:19:54.834,2019-02-24 16:09:37.871,178.0,Broadway at 30th St,37.8193814,-122.2619284,152.0,47th St at San Pablo Ave,37.83563220458518,-122.28105068206789,5089,Subscriber,1957,Male,Yes,2019,2,24,15,afternoon,Saturday,62,49,0
31744,175,2019-02-24 16:06:05.392,2019-02-24 16:09:00.397,343.0,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,27.0,Beale St at Harrison St,37.7880593,-122.3918648,5462,Subscriber,1953,Male,No,2019,2,24,16,afternoon,Saturday,66,2,0
31767,529,2019-02-24 15:56:55.492,2019-02-24 16:05:45.050,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,3284,Customer,1952,Other,No,2019,2,24,15,afternoon,Saturday,67,8,0
31768,504,2019-02-24 15:57:15.642,2019-02-24 16:05:40.565,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,3637,Customer,1952,Other,No,2019,2,24,15,afternoon,Saturday,67,8,0
